"Time","gateway1","scheduler","worker1","worker3","worker4","worker6"
2026-01-03 23:10:00,4.26 kb/s,18.9 kb/s,107 Mb/s,321 Mb/s,108 Mb/s,107 Mb/s
2026-01-03 23:15:00,4.59 kb/s,21.9 kb/s,50.1 Mb/s,151 Mb/s,144 Mb/s,50.1 Mb/s
2026-01-03 23:20:00,4.93 kb/s,19.8 kb/s,110 Mb/s,329 Mb/s,112 Mb/s,110 Mb/s
2026-01-03 23:25:00,4.88 kb/s,18.1 kb/s,105 Mb/s,315 Mb/s,105 Mb/s,105 Mb/s
2026-01-03 23:30:00,4.91 kb/s,18.8 kb/s,107 Mb/s,321 Mb/s,107 Mb/s,110 Mb/s
2026-01-03 23:35:00,4.66 kb/s,18.8 kb/s,148 Mb/s,322 Mb/s,105 Mb/s,123 Mb/s
2026-01-03 23:40:00,4.96 kb/s,18.8 kb/s,107 Mb/s,321 Mb/s,110 Mb/s,107 Mb/s
2026-01-03 23:45:00,4.91 kb/s,18.2 kb/s,110 Mb/s,329 Mb/s,109 Mb/s,110 Mb/s
2026-01-03 23:50:00,4.61 kb/s,18.8 kb/s,103 Mb/s,308 Mb/s,101 Mb/s,103 Mb/s
2026-01-03 23:55:00,4.77 kb/s,19.8 kb/s,69.1 Mb/s,186 Mb/s,79.1 Mb/s,64.4 Mb/s
2026-01-04 00:00:00,4.64 kb/s,16.4 kb/s,115 Mb/s,191 Mb/s,179 Mb/s,112 Mb/s
2026-01-04 00:05:00,4.65 kb/s,20.1 kb/s,71.5 Mb/s,215 Mb/s,181 Mb/s,71.5 Mb/s
2026-01-04 00:10:00,4.44 kb/s,19.4 kb/s,83.4 Mb/s,249 Mb/s,196 Mb/s,83.4 Mb/s
2026-01-04 00:15:00,4.22 kb/s,19.7 kb/s,69.1 Mb/s,209 Mb/s,167 Mb/s,69.1 Mb/s
2026-01-04 00:20:00,4.34 kb/s,21.0 kb/s,73.9 Mb/s,222 Mb/s,184 Mb/s,171 Mb/s
2026-01-04 00:25:00,4.36 kb/s,19.1 kb/s,410 Mb/s,165 Mb/s,168 Mb/s,352 Mb/s
2026-01-04 00:30:00,4.52 kb/s,19.6 kb/s,285 Mb/s,172 Mb/s,162 Mb/s,309 Mb/s
2026-01-04 00:35:00,4.40 kb/s,18.8 kb/s,95.4 Mb/s,257 Mb/s,101 Mb/s,117 Mb/s
2026-01-04 00:40:00,4.77 kb/s,20.4 kb/s,69.1 Mb/s,207 Mb/s,130 Mb/s,69.1 Mb/s
2026-01-04 00:45:00,4.29 kb/s,22.0 kb/s,37.4 Mb/s,110 Mb/s,152 Mb/s,38.2 Mb/s
2026-01-04 00:50:00,4.18 kb/s,22.2 kb/s,46.1 Mb/s,140 Mb/s,162 Mb/s,45.3 Mb/s
2026-01-04 00:55:00,4.13 kb/s,18.1 kb/s,45.3 Mb/s,134 Mb/s,152 Mb/s,45.3 Mb/s
2026-01-04 01:00:00,4.15 kb/s,15.9 kb/s,58.8 Mb/s,179 Mb/s,167 Mb/s,59.6 Mb/s
2026-01-04 01:05:00,4.34 kb/s,19.3 kb/s,68.4 Mb/s,203 Mb/s,178 Mb/s,106 Mb/s
2026-01-04 01:10:00,4.78 kb/s,19.4 kb/s,82.5 Mb/s,246 Mb/s,142 Mb/s,165 Mb/s
2026-01-04 01:15:00,4.14 kb/s,19.3 kb/s,95.3 Mb/s,285 Mb/s,95.4 Mb/s,95.4 Mb/s
2026-01-04 01:20:00,5.02 kb/s,19.2 kb/s,99.8 Mb/s,299 Mb/s,100 Mb/s,100 Mb/s
2026-01-04 01:25:00,4.40 kb/s,19.7 kb/s,86.3 Mb/s,260 Mb/s,137 Mb/s,85.8 Mb/s
2026-01-04 01:30:00,4.38 kb/s,19.8 kb/s,31.0 Mb/s,95.4 Mb/s,139 Mb/s,31.0 Mb/s
2026-01-04 01:35:00,4.29 kb/s,22.5 kb/s,38.2 Mb/s,114 Mb/s,139 Mb/s,38.2 Mb/s
2026-01-04 01:40:00,4.39 kb/s,24.0 kb/s,28.6 Mb/s,85.8 Mb/s,137 Mb/s,59.0 Mb/s
2026-01-04 01:45:00,4.22 kb/s,20.1 kb/s,76.3 Mb/s,229 Mb/s,128 Mb/s,89.4 Mb/s
2026-01-04 01:50:00,5.37 kb/s,18.5 kb/s,95.4 Mb/s,286 Mb/s,97.8 Mb/s,95.4 Mb/s
2026-01-04 01:55:00,4.59 kb/s,18.6 kb/s,105 Mb/s,315 Mb/s,105 Mb/s,105 Mb/s
2026-01-04 02:00:00,4.71 kb/s,19.5 kb/s,97.8 Mb/s,293 Mb/s,127 Mb/s,97.8 Mb/s
2026-01-04 02:05:00,4.47 kb/s,21.3 kb/s,40.5 Mb/s,122 Mb/s,155 Mb/s,40.5 Mb/s
2026-01-04 02:10:00,4.18 kb/s,21.1 kb/s,28.6 Mb/s,85.8 Mb/s,142 Mb/s,103 Mb/s
2026-01-04 02:15:00,4.52 kb/s,20.5 kb/s,85.8 Mb/s,256 Mb/s,125 Mb/s,95.8 Mb/s
2026-01-04 02:20:00,5.08 kb/s,18.5 kb/s,107 Mb/s,321 Mb/s,108 Mb/s,107 Mb/s
2026-01-04 02:25:00,4.73 kb/s,18.5 kb/s,105 Mb/s,316 Mb/s,106 Mb/s,105 Mb/s
2026-01-04 02:30:00,4.47 kb/s,20.9 kb/s,59.6 Mb/s,180 Mb/s,136 Mb/s,59.6 Mb/s
2026-01-04 02:35:00,4.25 kb/s,22.7 kb/s,28.6 Mb/s,85.8 Mb/s,130 Mb/s,28.6 Mb/s
2026-01-04 02:40:00,4.19 kb/s,20.3 kb/s,38.2 Mb/s,114 Mb/s,147 Mb/s,38.2 Mb/s
2026-01-04 02:45:00,4.51 kb/s,19.2 kb/s,78.7 Mb/s,231 Mb/s,128 Mb/s,137 Mb/s
2026-01-04 02:50:00,4.60 kb/s,18.6 kb/s,102 Mb/s,310 Mb/s,103 Mb/s,103 Mb/s
2026-01-04 02:55:00,4.51 kb/s,18.3 kb/s,105 Mb/s,314 Mb/s,105 Mb/s,105 Mb/s
2026-01-04 03:00:00,4.50 kb/s,18.7 kb/s,104 Mb/s,314 Mb/s,105 Mb/s,105 Mb/s
2026-01-04 03:05:00,4.25 kb/s,19.6 kb/s,41.8 Mb/s,124 Mb/s,155 Mb/s,40.5 Mb/s
2026-01-04 03:10:00,4.26 kb/s,20.5 kb/s,89.4 Mb/s,222 Mb/s,125 Mb/s,73.9 Mb/s
2026-01-04 03:15:00,4.35 kb/s,18.6 kb/s,103 Mb/s,308 Mb/s,101 Mb/s,103 Mb/s
2026-01-04 03:20:00,4.91 kb/s,18.5 kb/s,107 Mb/s,322 Mb/s,106 Mb/s,107 Mb/s
2026-01-04 03:25:00,4.86 kb/s,18.6 kb/s,107 Mb/s,320 Mb/s,109 Mb/s,107 Mb/s
2026-01-04 03:30:00,4.24 kb/s,22.7 kb/s,38.2 Mb/s,113 Mb/s,154 Mb/s,38.2 Mb/s
