"Time","sum:gptneo_03e4b61/gateway1","sum:gptneo_03e4b61/scheduler","sum:gptneo_03e4b61/worker1","sum:gptneo_03e4b61/worker2","sum:gptneo_03e4b61/worker3","sum:gptneo_03e4b61/worker4"
2026-01-09 13:40:00,141 MB,492 MB,1.47 TB,1.52 TB,11.3 TB,1.01 TB
2026-01-09 14:00:00,141 MB,493 MB,1.48 TB,1.53 TB,11.4 TB,1.01 TB
2026-01-09 14:20:00,142 MB,495 MB,1.49 TB,1.54 TB,11.4 TB,1.02 TB
2026-01-09 14:40:00,142 MB,496 MB,1.49 TB,1.55 TB,11.4 TB,1.03 TB
2026-01-09 15:00:00,142 MB,497 MB,1.50 TB,1.55 TB,11.4 TB,1.03 TB
2026-01-09 15:20:00,143 MB,499 MB,1.50 TB,1.56 TB,11.4 TB,1.04 TB
2026-01-09 15:40:00,143 MB,500 MB,1.51 TB,1.57 TB,11.5 TB,1.04 TB
2026-01-09 16:00:00,143 MB,501 MB,1.52 TB,1.57 TB,11.5 TB,1.05 TB
2026-01-09 16:20:00,144 MB,503 MB,1.52 TB,1.58 TB,11.5 TB,1.05 TB
2026-01-09 16:40:00,144 MB,504 MB,1.53 TB,1.59 TB,11.5 TB,1.06 TB
2026-01-09 17:00:00,144 MB,506 MB,1.54 TB,1.59 TB,11.5 TB,1.07 TB
2026-01-09 17:20:00,145 MB,507 MB,1.54 TB,1.60 TB,11.6 TB,1.07 TB
2026-01-09 17:40:00,145 MB,509 MB,1.55 TB,1.61 TB,11.6 TB,1.08 TB
2026-01-09 18:00:00,145 MB,511 MB,1.56 TB,1.61 TB,11.6 TB,1.09 TB
2026-01-09 18:20:00,146 MB,512 MB,1.56 TB,1.62 TB,11.6 TB,1.09 TB
