"Time","gateway1","scheduler","worker1","worker2","worker3","worker4"
2026-01-08 08:00:00,2.59 kb/s,9.60 kb/s,56.9 Mb/s,52.4 Mb/s,144 Mb/s,49.6 Mb/s
2026-01-08 08:20:00,2.58 kb/s,9.77 kb/s,38.2 Mb/s,45.2 Mb/s,130 Mb/s,43.2 Mb/s
2026-01-08 08:40:00,2.59 kb/s,9.40 kb/s,38.0 Mb/s,39.2 Mb/s,121 Mb/s,41.1 Mb/s
2026-01-08 09:00:00,2.60 kb/s,9.15 kb/s,56.9 Mb/s,58.3 Mb/s,165 Mb/s,47.9 Mb/s
2026-01-08 09:20:00,2.58 kb/s,9.31 kb/s,38.2 Mb/s,39.4 Mb/s,121 Mb/s,45.0 Mb/s
2026-01-08 09:40:00,2.59 kb/s,10.0 kb/s,38.0 Mb/s,39.5 Mb/s,114 Mb/s,41.0 Mb/s
2026-01-08 10:00:00,2.58 kb/s,9.12 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 10:20:00,2.59 kb/s,9.21 kb/s,38.0 Mb/s,39.6 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-08 10:40:00,2.58 kb/s,9.26 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 11:00:00,2.59 kb/s,8.81 kb/s,38.0 Mb/s,39.6 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-08 11:20:00,2.58 kb/s,9.24 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 11:40:00,2.59 kb/s,8.99 kb/s,56.9 Mb/s,54.8 Mb/s,144 Mb/s,49.6 Mb/s
2026-01-08 12:00:00,2.58 kb/s,9.63 kb/s,38.0 Mb/s,42.8 Mb/s,136 Mb/s,46.0 Mb/s
2026-01-08 12:20:00,2.60 kb/s,9.05 kb/s,55.8 Mb/s,58.3 Mb/s,153 Mb/s,44.9 Mb/s
2026-01-08 12:40:00,2.61 kb/s,9.39 kb/s,39.3 Mb/s,39.4 Mb/s,131 Mb/s,45.9 Mb/s
2026-01-08 13:00:00,2.58 kb/s,9.42 kb/s,38.2 Mb/s,39.4 Mb/s,117 Mb/s,43.2 Mb/s
2026-01-08 13:20:00,2.60 kb/s,9.67 kb/s,38.0 Mb/s,39.7 Mb/s,122 Mb/s,53.5 Mb/s
2026-01-08 13:40:00,2.58 kb/s,8.29 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 14:00:00,2.59 kb/s,9.09 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-08 14:20:00,2.58 kb/s,9.04 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 14:40:00,2.59 kb/s,8.88 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-08 15:00:00,2.58 kb/s,9.58 kb/s,57.1 Mb/s,57.4 Mb/s,146 Mb/s,50.0 Mb/s
2026-01-08 15:20:00,2.58 kb/s,9.43 kb/s,38.0 Mb/s,40.2 Mb/s,132 Mb/s,45.6 Mb/s
2026-01-08 15:40:00,2.61 kb/s,8.94 kb/s,56.9 Mb/s,58.3 Mb/s,173 Mb/s,53.5 Mb/s
2026-01-08 16:00:00,2.59 kb/s,9.68 kb/s,38.2 Mb/s,39.5 Mb/s,116 Mb/s,42.1 Mb/s
2026-01-08 16:20:00,2.59 kb/s,9.25 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 16:40:00,2.58 kb/s,9.24 kb/s,38.2 Mb/s,39.5 Mb/s,94.6 Mb/s,19.6 Mb/s
2026-01-08 17:00:00,2.59 kb/s,8.92 kb/s,38.0 Mb/s,39.6 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-08 17:20:00,2.58 kb/s,9.15 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 17:40:00,2.59 kb/s,8.80 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
