"Time","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr"
2026-01-10 04:00:00,,,,,,,,6.06,6.22,6.03
2026-01-10 04:20:00,,,,,,,,6.20,6.05,6.12
2026-01-10 04:40:00,,,,,,,,6.10,6.34,6.15
2026-01-10 05:00:00,,,,,,,,6.17,6.12,6.14
2026-01-10 05:20:00,,,,,,,,6.11,6.30,6.09
2026-01-10 05:40:00,,,,,,,,6.22,6.15,6.05
2026-01-10 06:00:00,,,,,,,,6.15,6.34,6.20
2026-01-10 06:20:00,,,,,,,,6.05,6.07,6.09
2026-01-10 06:40:00,,,,,,,,6.25,6.07,6.05
2026-01-10 07:00:00,,,,,,,,6.05,6.03,6.15
2026-01-10 07:20:00,,,,,,,,6.04,6.22,6.15
2026-01-10 07:40:00,,,,,,,,6.06,5.99,6.09
2026-01-10 08:00:00,,,,,,,,6.13,6.06,6.10
2026-01-10 08:20:00,,,,,,,,6.05,6.04,6.07
2026-01-10 08:40:00,,,,,,,,6.15,6.01,6.10
2026-01-10 09:00:00,,,,,,,,6.21,6.11,6.14
2026-01-10 09:20:00,,,,,,,,6.08,6.26,6.10
2026-01-10 09:40:00,,,,,,,,6.14,6.01,6.14
2026-01-10 10:00:00,,,,,,,,6.04,6.01,6.16
2026-01-10 10:20:00,,,,,,,,6.12,6.03,6.01
2026-01-10 10:40:00,,,,,,,,6.07,6.21,6.12
2026-01-10 11:00:00,,,,,,,,6.21,6.29,6.12
2026-01-10 11:20:00,,,,,,,,6.21,6.30,6.08
2026-01-10 11:40:00,,,,,,,,6.06,6.05,6.15
2026-01-10 12:00:00,,,,,,,,6.16,6.01,6.07
2026-01-10 12:20:00,,,,,,,,6.15,6.08,6.09
2026-01-10 12:40:00,,,,,,,,6.05,6.19,6.08
2026-01-10 13:00:00,,,,,,,,6.13,6.03,6.07
2026-01-10 13:20:00,,,,,,,,6.04,6.01,6.14
2026-01-10 13:40:00,,,,,,,,6.12,6.03,6.13
2026-01-10 14:00:00,,,,,,,,6.09,6.23,6.09
2026-01-10 14:20:00,,,,,,,,6.08,6.08,6.03
2026-01-10 14:40:00,,,,,,,,6.12,6.18,6.07
2026-01-10 15:00:00,,,,,,,,6.13,6.25,6.10
2026-01-10 15:20:00,,,,,,,,6.04,6.05,6.10
2026-01-10 15:40:00,,,,,,,,6.13,6.22,6.08
2026-01-10 16:00:00,,,,,,,,6.13,6.11,6.06
2026-01-10 16:20:00,,,,,,,,6.21,5.97,6.04
2026-01-10 16:40:00,,,,,,,,6.15,5.99,6.13
2026-01-10 17:00:00,,,,,,,,6.05,6.28,6.00
